"","Foothills","Fortune","Hawthorne","Hickory","Hope","Kerr","Living Harvest"
"1",1,28,0,1,1,3,0
"2",7,11,9,3,9,3,3
"3",2,0,0,0,0,0,0
"4",1,0,0,0,0,0,0
"5",1,0,0,1,0,2,0
"6",9,42,12,6,36,186,5
"7",1,1,1,1,3,1,1
"8",14,1,3,2,3,28,2
"9",1,0,0,0,0,0,0
"10",3,1,0,0,0,4,1
"11",1,0,0,0,0,0,0
"12",1,1,1,0,0,0,0
"13",1,0,0,0,0,2,0
"14",1,0,0,0,0,0,0
"15",36,31,117,20,46,135,28
"16",33,31,13,24,25,71,11
"17",0,1,0,0,0,4,0
"18",0,2,0,0,0,0,0
"19",0,1,1,0,0,0,0
"20",0,1,0,0,0,0,0
"21",0,1,0,1,0,0,0
"22",0,3,0,1,0,0,0
"23",0,1,0,0,0,2,0
"24",0,1,0,0,0,0,0
"25",0,2,0,0,2,0,0
"26",0,0,1,1,1,0,0
"27",0,0,1,0,1,0,1
"28",0,0,1,1,0,7,0
"29",0,0,1,0,0,0,0
"30",0,0,1,0,1,0,0
"31",0,0,2,0,0,0,0
"32",0,0,1,0,0,0,0
"33",0,0,1,0,1,0,1
"34",0,0,1,0,0,1,1
"35",0,0,10,0,2,0,1
"36",0,0,1,0,0,0,0
"37",0,0,0,2,0,0,0
"38",0,0,0,1,0,0,0
"39",0,0,0,0,1,0,0
"40",0,0,0,0,1,7,0
"41",0,0,0,0,1,0,0
"42",0,0,0,0,1,1,1
"43",0,0,0,0,0,1,0
"44",0,0,0,0,0,2,1
"45",0,0,0,0,0,1,0
"46",0,0,0,0,0,1,0
"47",0,0,0,0,0,1,0
"48",0,0,0,0,0,0,2
"49",0,0,0,0,0,0,3
